t,n5 outlin,n6 outrot,n4 inlin,n1 inrot
56700,0,0,0,13734
56850,0,0,0,3498
57000,0,0,0,-19
57150,0,0,0,-23
57300,0,0,0,-23
57450,0,0,0,-21
57600,0,0,0,-19
57750,0,0,0,-15
57900,0,0,0,-9
58050,0,0,0,-7
58200,0,0,0,-5
58350,0,0,0,-5
58500,0,0,0,-2
58650,0,0,0,-1
58800,0,0,0,0
58950,0,0,0,1
59100,0,0,0,2
59250,0,0,0,2
59400,0,0,0,2
59550,0,0,0,2
59700,0,0,0,2
59850,0,0,0,2
60000,0,0,0,0
60150,0,0,0,0
60300,0,0,0,0
60450,0,0,0,0
60600,0,0,0,0
60750,0,0,0,0
60900,0,0,0,0
61050,0,0,0,0
61200,0,0,0,0
61350,0,0,0,0
61500,0,0,0,0
61650,0,0,0,0
61800,0,0,0,0
61950,0,0,0,0
62100,0,0,0,0
62250,0,0,0,0
62400,0,0,0,0
62550,0,0,0,0
62700,0,0,0,0
62850,0,0,0,0
63000,0,0,0,0
63150,0,0,0,0
63300,0,0,0,0
63450,0,0,0,0
63600,0,0,0,0
63750,0,0,0,0
63900,0,0,0,0
64050,0,0,0,0
64200,0,0,0,0
64350,0,0,0,0
64500,0,0,0,0
64650,0,0,0,0
64800,0,0,0,0
64950,0,0,0,0
65100,0,0,0,0
65250,0,0,0,0
65400,0,0,0,0
65550,0,0,0,0
65700,0,0,0,0
65850,0,0,0,0
66000,0,0,0,0
66150,0,0,0,0
66300,0,0,0,0
66450,0,0,0,0
66600,0,0,0,0
66750,0,0,0,0
66900,0,0,0,0
67050,0,0,0,0
67200,0,0,0,0
67350,0,0,0,0
67500,0,0,0,0
67650,0,0,0,0
67800,0,0,0,0
67950,0,0,0,0
68100,0,0,0,0
68250,0,0,0,0
68400,0,0,0,0
68550,0,0,0,0
68700,0,0,0,0
68850,0,0,0,0
69000,0,0,0,0
69150,0,0,0,0
69300,0,0,0,0
69450,0,0,0,0
69600,0,0,0,0
69750,0,0,0,0
69900,0,0,0,0
70050,0,0,0,0
70200,0,0,0,0
70350,0,0,0,0
70500,0,0,0,0
70650,0,0,0,0
70800,0,0,0,0
70950,0,0,0,0
71100,0,0,0,0
71250,0,0,0,0
71400,0,0,0,0
71550,0,0,0,0
71700,0,0,0,0
71850,0,0,0,0
72000,0,0,0,0
72150,0,0,0,0
72300,0,0,0,0
72450,0,0,0,0
72600,0,0,0,0
72750,0,0,0,0
72900,0,0,0,0
73050,0,0,0,0
73200,0,0,0,0
73350,0,0,0,0
73500,0,0,0,0
73650,0,0,0,0
73800,0,0,0,0
73950,0,0,0,0
74100,0,0,0,0
74250,0,0,0,0
74400,0,0,0,0
74550,0,0,0,0
74700,0,0,0,0
74850,0,0,0,0
